Fairness factor multiplier = 2.0
5       Test: 0.275314306858    0.194244604317  0.429924242424
10      Test: 0.292441347044    0.201438848921  0.429924242424
15      Test: 0.298991721306    0.287769784173  0.443181818182
20      Test: 0.29247354946     0.31654676259   0.452651515152
25      Test: 0.270565413294    0.325922868263  0.467803030303
30      Test: 0.232821559358    0.343495695247  0.471590909091
35      Test: 0.184149609704    0.445394504069  0.469696969697
40      Test: 0.134750179723    0.448755749499  0.5
45      Test: 0.0932846792651   0.284821323269  0.537878787879
50      Test: 0.0623172792357   0.0573180799623         0.577651515152
55      Test: 0.0404004359077   0.0255336714235         0.585227272727
60      Test: 0.0251530446576   0.0461139285293         0.600378787879
65      Test: 0.0145502659675   0.0461139285293         0.607954545455
70      Test: 0.00517519751433  0.0174548885482         0.617424242424
75      Test: 0.00467199018067  0.0338483311711         0.621212121212
80      Test: 0.0151253962897   0.0626253095884         0.617424242424
85      Test: 0.0263029507234   0.0626253095884         0.619318181818
90      Test: 0.038306133387    0.0696426465385         0.632575757576
95      Test: 0.0512189785392   0.184396744899  0.642045454545
100     Test: 0.0651068324219   0.191590989503  0.642045454545

Test 0.0651068324219 0.191590989503 0.642045454545
first value is delta_root which we want to be small. Second is Delta true where instead of h_x_i we take y_bar which is the actual integer prediction. Third is accuracy

Fairness factor multipler = 0.5
5       Test: 0.286597233411    0.194244604317  0.429924242424
10      Test: 0.316463982902    0.287769784173  0.441287878788
15      Test: 0.335265472511    0.345323741007  0.439393939394
20      Test: 0.339774245014    0.424460431655  0.443181818182
25      Test: 0.329134930023    0.463615992452  0.445075757576
30      Test: 0.305294454596    0.58090576719   0.477272727273
35      Test: 0.272599920577    0.595294256398  0.482954545455
40      Test: 0.23633670943     0.448755749499  0.5
45      Test: 0.200921250343    0.448755749499  0.5
50      Test: 0.168941410935    0.448755749499  0.511363636364
55      Test: 0.141318242618    0.172249085977  0.579545454545
60      Test: 0.117962474211    0.167236702441  0.592803030303
65      Test: 0.0983527789456   0.229979950466  0.602272727273
70      Test: 0.0818702493006   0.206392263239  0.609848484848
75      Test: 0.0679443611085   0.199198018634  0.61553030303
80      Test: 0.0560976217627   0.150017690765  0.626893939394
85      Test: 0.0459466299462   0.133624248142  0.630681818182
90      Test: 0.03718842451     0.126430003538  0.63446969697
95      Test: 0.0295843043836   0.126430003538  0.632575757576
100     Test: 0.022945425083    0.104847269725  0.63446969697

Fairness factor multiper = 0.0
5       Test: 0.290571106122    0.194244604317  0.42803030303
10      Test: 0.325446930917    0.287769784173  0.4375
15      Test: 0.34953131584     0.402877697842  0.450757575758
20      Test: 0.359211964745    0.446043165468  0.431818181818
25      Test: 0.354204152778    0.614695129143  0.469696969697
30      Test: 0.337407365449    0.595294256398  0.473484848485
35      Test: 0.313271456957    0.595294256398  0.479166666667
40      Test: 0.285987872561    0.588100011794  0.482954545455
45      Test: 0.258529965028    0.448755749499  0.5
50      Test: 0.23257715763     0.571057907772  0.522727272727
55      Test: 0.208858278593    0.686165821441  0.522727272727
60      Test: 0.187537702797    0.570409246373  0.5625
65      Test: 0.168497414694    0.383889609624  0.583333333333
70      Test: 0.151505293212    0.342906003066  0.589015151515
75      Test: 0.136302791806    0.311121594528  0.590909090909
80      Test: 0.12264510956     0.311121594528  0.592803030303
85      Test: 0.110316308892    0.296733105319  0.607954545455
90      Test: 0.0991323692242   0.223965090223  0.617424242424
95      Test: 0.088939033984    0.223965090223  0.617424242424
100     Test: 0.0796078327411   0.200377402996  0.626893939394
